group,Hex,Length,Weight
sjscarf2,7696,76,4.8
sjscarf2,746D,78,5.3
sjscarf2,75C5,74,4.4
sjscarf2,7B45,76,4.3
sjscarf2,74AB,75,4.3
sjscarf2,734A,74,4.5
sjscarf2,72CB,76,4.9
sjscarf2,74B1,78,5
sjscarf2,76AB,77,5
sjscarf2,75AB,76,4.8
sjscarf2,7269,75,4.5
sjscarf2,74D1,77,4.7
sjscarf2,80AA,77,5
sjscarf2,7514,75,4.4
sjscarf2,71AD,74,4.2
sjscarf2,73D5,75,4.6
sjscarf2,7AA4,79,5.4
sjscarf2,75B6,82,5.6
sjscarf2,7526,77,4.7
sjscarf2,7AD1,75,4.4
sjscarf2,7AC9,77,5.2
sjscarf2,74D5,80,5.1
sjscarf2,814A,73,4.2
sjscarf2,76B3,76,4.8
sjscarf2,7969,77,4.9
sjscarf2,76D9,74,4.3
sjscarf2,72AC,75,4.7
sjscarf2,7BA5,74,4.5
sjscarf2,7D55,78,4.7
sjscarf2,7693,75,4.2
sjscarf2,7521,77,4.6
sjscarf2,7525,80,5.4
sjscarf2,7D57,75,4.3
sjscarf2,75DD,76,4.9
sjscarf2,75C9,78,5.2
sjscarf2,776A,73,4.6
sjscarf2,74B4,78,5.2
sjscarf2,7425,76,4.7
sjscarf2,7543,78,5.1
sjscarf2,74D2,74,4.4
sjscarf2,7953,75,4.4
sjscarf2,79AB,78,5
sjscarf2,751D,86,6.8
sjscarf2,7691,76,5
sjscarf2,7DAA,75,4.5
sjscarf2,72B2,75,4.4
sjscarf2,75B7,73,4.3
sjscarf2,7A8D,76,4.7
sjscarf2,7AB7,77,4.6
sjscarf2,7AA7,76,4.6
sjscarf2,7D29,72,4.1
sjscarf2,755E,74,4.3
sjscarf2,7454,79,5.1
sjscarf2,7256,74,4.4
sjscarf2,7A69,78,5.1
sjscarf2,7699,74,4.4
sjscarf2,82B6,75,4.4
sjscarf2,74BA,74,4.3
sjscarf2,7289,75,4.6
sjscarf2,757D,78,4.9
sjscarf2,74A8,75,4.4
sjscarf2,844A,75,4.5
sjscarf2,8252,74,4.5
sjscarf2,7956,75,4.7
sjscarf2,7BA9,75,4.4
sjscarf2,76C5,79,5.5
sjscarf2,74CB,76,5
sjscarf2,76B1,73,4.2
sjscarf2,72A3,74,4.5
sjscarf2,754C,75,4.5
sjscarf2,7527,79,5.6
sjscarf2,7AE5,74,4.6
sjscarf2,7547,75,4.8
sjscarf2,8296,75,4.6
sjscarf2,7DA5,76,4.8
sjscarf2,7575,77,5.4
sjscarf2,72D2,80,5.5
sjscarf2,742A,75,4.7
sjscarf2,7C55,78,5.2
sjscarf2,7AAD,75,4.5
sjscarf2,77A5,76,4.7
sjscarf2,7465,79,5.4
