"date","time","sensor_20","datetime"
2017-03-04,"1645",32800,2017-03-04 16:45:00
2017-03-04,"1700",32600,2017-03-04 17:00:00
2017-03-04,"1715",32700,2017-03-04 17:15:00
2017-03-04,"1730",32700,2017-03-04 17:30:00
2017-03-04,"1745",32700,2017-03-04 17:45:00
2017-03-04,"1800",32700,2017-03-04 18:00:00
2017-03-04,"1815",32700,2017-03-04 18:15:00
2017-03-04,"1830",32700,2017-03-04 18:30:00
2017-03-04,"1845",32700,2017-03-04 18:45:00
2017-03-04,"1900",32700,2017-03-04 19:00:00
2017-03-04,"1915",32700,2017-03-04 19:15:00
2017-03-04,"1930",32600,2017-03-04 19:30:00
2017-03-04,"1945",32700,2017-03-04 19:45:00
2017-03-04,"2000",32700,2017-03-04 20:00:00
2017-03-04,"2015",32600,2017-03-04 20:15:00
2017-03-04,"2030",32700,2017-03-04 20:30:00
2017-03-04,"2045",32700,2017-03-04 20:45:00
2017-03-04,"2100",32700,2017-03-04 21:00:00
2017-03-04,"2115",32700,2017-03-04 21:15:00
2017-03-04,"2130",32700,2017-03-04 21:30:00
2017-03-04,"2145",32800,2017-03-04 21:45:00
2017-03-04,"2200",32600,2017-03-04 22:00:00
2017-03-04,"2215",32700,2017-03-04 22:15:00
2017-03-04,"2230",32700,2017-03-04 22:30:00
2017-03-04,"2245",32600,2017-03-04 22:45:00
2017-03-04,"2300",32700,2017-03-04 23:00:00
2017-03-04,"2315",32700,2017-03-04 23:15:00
2017-03-04,"2330",32700,2017-03-04 23:30:00
2017-03-04,"2345",32600,2017-03-04 23:45:00
2017-03-05,"0000",32700,2017-03-05 00:00:00
2017-03-05,"0015",32700,2017-03-05 00:15:00
2017-03-05,"0030",32600,2017-03-05 00:30:00
2017-03-05,"0045",32700,2017-03-05 00:45:00
2017-03-05,"0100",32700,2017-03-05 01:00:00
2017-03-05,"0115",32600,2017-03-05 01:15:00
2017-03-05,"0130",32600,2017-03-05 01:30:00
2017-03-05,"0145",32700,2017-03-05 01:45:00
2017-03-05,"0200",32600,2017-03-05 02:00:00
2017-03-05,"0215",32600,2017-03-05 02:15:00
2017-03-05,"0230",32500,2017-03-05 02:30:00
2017-03-05,"0245",32500,2017-03-05 02:45:00
2017-03-05,"0300",32500,2017-03-05 03:00:00
2017-03-05,"0315",32600,2017-03-05 03:15:00
2017-03-05,"0330",32600,2017-03-05 03:30:00
2017-03-05,"0345",32500,2017-03-05 03:45:00
2017-03-05,"0400",32500,2017-03-05 04:00:00
2017-03-05,"0415",32500,2017-03-05 04:15:00
2017-03-05,"0430",32500,2017-03-05 04:30:00
2017-03-05,"0445",32500,2017-03-05 04:45:00
2017-03-05,"0500",32500,2017-03-05 05:00:00
2017-03-05,"0515",32500,2017-03-05 05:15:00
2017-03-05,"0530",32500,2017-03-05 05:30:00
2017-03-05,"0545",32500,2017-03-05 05:45:00
2017-03-05,"0600",32600,2017-03-05 06:00:00
2017-03-05,"0615",32500,2017-03-05 06:15:00
