year,hex,length,weight
2017 Release Fish ,412D,85,7.3
2017 Release Fish ,4135,85,7.1
2017 Release Fish ,4145,72,5.2
2017 Release Fish ,4149,83,7.2
2017 Release Fish ,414A,76,5
2017 Release Fish ,414B,85,7.3
2017 Release Fish ,414D,79,5.7
2017 Release Fish ,4151,77,5.25
2017 Release Fish ,4152,77,4.9
2017 Release Fish ,4153,75,5.2
2017 Release Fish ,416B,74,4.9
2017 Release Fish ,416D,77,6
2017 Release Fish ,4175,81,6.5
2017 Release Fish ,4195,82,6.74
2017 Release Fish ,41A5,79,5.8
2017 Release Fish ,41A9,73,5.3
2017 Release Fish ,41AA,80,6.4
2017 Release Fish ,41AB,72,5
2017 Release Fish ,41AD,75,5.2
2017 Release Fish ,41B5,80,5.6
2017 Release Fish ,41D5,78,5.2
2017 Release Fish ,4225,74,4.9
2017 Release Fish ,4229,80,5.8
2017 Release Fish ,422A,77,5.9
2017 Release Fish ,422B,80,6.7
2017 Release Fish ,422D,72,5
2017 Release Fish ,4235,72,5.7
2017 Release Fish ,4245,71,4.8
2017 Release Fish ,4249,83,6.8
2017 Release Fish ,424A,79,6.1
2017 Release Fish ,424B,83,7.2
2017 Release Fish ,4251,72,5.4
2017 Release Fish ,4252,83,7.2
2017 Release Fish ,4253,74,4.9
2017 Release Fish ,4254,85,7.7
2017 Release Fish ,32D2,76,5
2017 Release Fish ,32D4,81,6.8
2017 Release Fish ,32D6,82,7
2017 Release Fish ,3200000,87,8.5
2017 Release Fish ,32F5,82,6.3
2017 Release Fish ,3315,86,8.3
2017 Release Fish ,3325,82,7.1
2017 Release Fish ,342A,76,5.2
2017 Release Fish ,342D,80,6.6
2017 Release Fish ,3435,83,6.7
2017 Release Fish ,3445,77,6.3
2017 Release Fish ,344A,87,7.2
2017 Release Fish ,344B,83,6.6
2017 Release Fish ,344D,80,5.9
2017 Release Fish ,349D,78,6.1
2017 Release Fish ,34A1,80,6.8
2017 Release Fish ,34A2,82,7.1
2017 Release Fish ,34A3,89,8.6
2017 Release Fish ,34A4,72,4.7
2017 Release Fish ,34A6,80,6.5
2017 Release Fish ,34A8,83,7.5
2017 Release Fish ,34AC,81,6.8
2017 Release Fish ,34AE,80,7.1
2017 Release Fish ,34AF,85,7.8
2017 Release Fish ,34B1,85,7.5
2017 Release Fish ,34B2,84,6.9
2017 Release Fish ,34B3,81,5.9
2017 Release Fish ,34B4,88,8.6
2017 Release Fish ,34BB,72,4.6
2017 Release Fish ,34C5,75,5.3
2017 Release Fish ,34C9,75,5.3
2017 Release Fish ,34CB,77,6.2
2017 Release Fish ,34CD,80,6.3
2017 Release Fish ,34D1,85,7.6
2017 Release Fish ,34D3,78,6
2017 Release Fish ,34D7,82,6.3
2017 Release Fish ,34D9,85,7.9
2017 Release Fish ,34DA,78,5.8
2017 Release Fish ,34DB,79,5.7
2017 Release Fish ,34DD,76,6
2017 Release Fish ,3400000,86,8.4
2017 Release Fish ,34000000000,87,8.4
2017 Release Fish ,34EB,80,6.7
2017 Release Fish ,34F5,89,8.8
2017 Release Fish ,3509,83,7.1
2017 Release Fish ,350A,82,7.2
2017 Release Fish ,350B,79,6.2
2017 Release Fish ,3511,83,6.9
2017 Release Fish ,3513,85,8
2017 Release Fish ,3514,79,6.8
2017 Release Fish ,351A,76,5.7
2017 Release Fish ,351D,74,4.6
2017 Release Fish ,3521,76,5.5
2017 Release Fish ,3522,83,7.1
2017 Release Fish ,3523,87,8.4
2017 Release Fish ,3549,76,5.9
2017 Release Fish ,354B,81,6.5
2017 Release Fish ,354D,76,5.7
2017 Release Fish ,354E,80,6.6
2017 Release Fish ,354F,76,5.4
2017 Release Fish ,3551,82,7.2
2017 Release Fish ,3557,94,10.3
2017 Release Fish ,356C,86,7.7
2017 Release Fish ,356D,88,8.8
2017 Release Fish ,356F,77,6
2017 Release Fish ,3573,85,8.6
2017 Release Fish ,3574,83,7
2017 Release Fish ,3635,75,4.8
2017 Release Fish ,3649,86,8.5
2017 Release Fish ,364A,79,6.2
2017 Release Fish ,364D,82,7.2
2017 Release Fish ,3651,81,6.5
2017 Release Fish ,3653,78,6.6
2017 Release Fish ,3654,78,5.4
2017 Release Fish ,3656,78,6.3
2017 Release Fish ,3657,79,6.1
2017 Release Fish ,3659,82,6.7
2017 Release Fish ,365B,79,5.9
2017 Release Fish ,365D,83,7.3
2017 Release Fish ,3665,76,6.3
2017 Release Fish ,366A,79,6.3
2017 Release Fish ,366B,79,5.3
2017 Release Fish ,366D,83,7.1
2017 Release Fish ,3675,85,7.3
2017 Release Fish ,3685,84,7.7
2017 Release Fish ,368B,81,6.3
2017 Release Fish ,3694,82,7
2017 Release Fish ,3697,83,6.6
2017 Release Fish ,369D,79,5.9
2017 Release Fish ,36A1,80,7
2017 Release Fish ,36A4,78,7.2
